user_name,user_id,video_id,video_desc,video_time,video_length,video_link,n_likes,n_shares,n_comments,n_plays
ogetoyoc,6607823893166686213,6959683081880046853,,1620427495,24,https://www.tiktok.com/@ogetoyoc/video/6959683081880046853?lang=en,202100,82,696,1900000
lgr.customz,6771193434050462726,6954794706186423557,What would you do in this situation?🤔,1619289331,26,https://www.tiktok.com/@lgr.customz/video/6954794706186423557?lang=en,25100,35,301,174900
basma_singer,6824286713068176390,6957322709499989253,Reply to @ilovetajin,1619877929,59,https://www.tiktok.com/@basma_singer/video/6957322709499989253?lang=en,1700000,5236,11000,8200000
patulafamilymcdonalds,6773467345425335301,6951033205998849285,Reply to @vfdarsonist But we used OJ,1618413539,11,https://www.tiktok.com/@patulafamilymcdonalds/video/6951033205998849285?lang=en,40100,34,402,625500
natebuzz,6932292682082436102,6955686444342037765,Brown eyes no surprise....,1619496960,15,https://www.tiktok.com/@natebuzz/video/6955686444342037765?lang=en,500900,2692,9134,2800000
devongrant25,6881390848258245637,6958171832784522502,I can’t stand myself sometimes 😂 I laughed my damn self 😂 #fyp #trens #trucker,1620075629,10,https://www.tiktok.com/@devongrant25/video/6958171832784522502?lang=en,15700,3332,888,338600
ayehoodofficial,6829116230483592197,6949263408592293125,@yafavhomiejr #ayehood #foryou #AYESBURBS #viral,1618001475,13,https://www.tiktok.com/@ayehoodofficial/video/6949263408592293125?lang=en,85000,9895,1770,1100000
letwins,6558725130284892166,6945889873215622406,What’s your favorite surprise?😍,1617216012,10,https://www.tiktok.com/@letwins/video/6945889873215622406?lang=en,167900,229,500,2800000
baezivy,6778657215365727237,6959679141289495814,Mothers Day is not the same. #fyp #mothersday #missmymom #mothersday2021 #ihatemothersday #foryou #foryoupage,1620426577,59,https://www.tiktok.com/@baezivy/video/6959679141289495814?lang=en,13700,1573,2292,94700
failarmy,278451059965267968,6951460276667419910,"PRO TIP - If you are bringing inside any large delicate items all by yourself, leave the door open. #failarmy #funnyfails #failvideos",1618512973,13,https://www.tiktok.com/@failarmy/video/6951460276667419910?lang=en,50100,235,159,477400
nursekris10,6898556909629621253,6954000255998266630,🍻🤣#nightshift #nurse #fyp #RN #foryou #nursesoftiktok #RN #Destinationdepop #nursehumor,1619104359,12,https://www.tiktok.com/@nursekris10/video/6954000255998266630?lang=en,66000,2374,2838,758200
joerauth_,6607161116286697478,6959596943400127750,Always talk about your height #fyp #friends #dad #pov,1620407445,32,https://www.tiktok.com/@joerauth_/video/6959596943400127750?lang=en,152100,676,367,617200
emilyfauver,6718536094827086854,6940666912229657862,I have been demoted to camera man 😒 #juicygossip #AirPodsJUMP #toddlersoftiktok #foryou #fyp,1615999948,50,https://www.tiktok.com/@emilyfauver/video/6940666912229657862?lang=en,40200,430,300,310900
chemteacherphil,6730959457407304709,6948951950088080646,The water actually gets colder as it boils. #learnontiktok #tiktokpartner,1617928959,36,https://www.tiktok.com/@chemteacherphil/video/6948951950088080646?lang=en,87200,610,729,542200
devin.known,8032962,6956335900464811270,I was not about to let this be my first car 💀 @theblacktrunks @dtay.known #comedy,1619648168,34,https://www.tiktok.com/@devin.known/video/6956335900464811270?lang=en,296300,913,1003,3000000
amaguilar5,6758636146244453381,6954900974246890757,Day 11! @angiieackerman #Destinationdepop #fyp #xyzbca #fy #foryoupage #fye #fypシ #birthday #countdown,1619314074,45,https://www.tiktok.com/@amaguilar5/video/6954900974246890757?lang=en,42300,74,206,348400
